Precinct	total_votes	votes|Jacob Meister	votes|Iris Y. Martinez	votes|Richard R. Boykin	votes|Michael M. Cabonargi
24028	139	8	30	80	21
24029	140	15	24	78	23
24030	108	16	19	53	20
24031	188	14	37	120	17
24032	94	11	14	57	12
24033	117	13	28	54	22
24034	167	23	25	94	25
24035	156	16	33	73	34
24036	218	15	41	129	33
24037	98	6	27	56	9
24038	155	16	39	75	25
24039	162	23	56	61	22
24040	182	23	51	82	26
24041	132	11	18	87	16
25001	232	34	157	8	33
25002	320	73	173	24	50
25003	270	53	98	36	83
25004	163	19	54	54	36
25005	303	39	201	17	46
25006	81	17	16	19	29
25007	272	72	150	26	24
25008	308	70	169	26	43
25009	244	53	159	13	19
25010	234	42	67	47	78
25011	304	47	204	26	27
25012	262	60	156	18	28
25013	290	41	195	24	30
25014	158	33	68	19	38
25015	236	40	146	19	31
25016	277	52	83	53	89
25017	263	42	153	33	35
25018	184	32	42	19	91
25019	299	56	182	18	43
25020	118	24	35	44	15
25021	308	70	113	55	70
25022	258	62	155	18	23
25023	303	64	182	32	25
25024	284	67	176	16	25
25025	210	32	67	48	63
25026	277	36	199	14	28
25027	263	53	125	37	48
25028	305	75	168	16	46
25029	193	30	61	59	43
25030	285	55	186	11	33
25031	302	69	94	48	91
25032	206	27	131	8	40
26001	214	59	108	13	34
26002	173	37	100	22	14
26003	221	58	94	33	36
26004	122	18	65	27	12
26005	206	48	109	29	20
26006	181	36	106	15	24
26007	220	66	118	11	25
26008	109	14	76	6	13
26009	156	23	110	11	12
26010	167	43	92	15	17
26011	194	33	123	23	15
26012	212	48	122	14	28
26013	105	4	74	16	11
